Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Theme
Instagram,https://www.instagram.com/p/Ca3DN1MLeCz/,,3/8/2022 5:48 pm,"• 8 de Marzo Día Internacional de las #mujeres y #feminidades 

El #8m es un día de lucha, por los #derechos de las #mujeres y todas las #feminidades, porque ser mujer es una construcción y nada tiene que ver con el sexo biológico asignado al nacer, y porque el patriarcado avasalla con todo lo que no corresponda al varón heterosexual cis. (No voy a profundizar mucho más sobre esto pero estaría bueno en un post aparte).

✊🏽8M. No me felicites, respétame y acompáñame a luchar por mis derechos.

‼️ Primeros meses del 2022 y el promedio de femicidios es de 1 cada 26 horas. 

La #violencia #machista está internalizada culturalmente a nivel mundial, cada unx de manera personal debe repensar sus prácticas y maneras de pensar para poder modificarla. 

💜Somos las voces de las que ya no están.

💜 Somos todas al caminar con miedo en la calle sin saber si llegaremos sanas.

💜 Somos los #femicidios, las violaciones, los abusos, los golpes, la violencia psicológica, el miedo y la angustia.

💜 Somos nuestros derechos de #salud integral, #obstétricos , #sexuales y #reproductivos 

💜Somos las infancias y adolescencias #travesti -trans, la precarización laboral #trans, la falta de cercanía a los espacios de salud del colectivo #lgbttiq 

💜Somos la #interseccionalidad invisibilizada, el #racismo y el #patriarcado que nos oprime.

💜 Somos hija, hermana, sobrina, madre, tía, amiga, cuñada, pareja y abuela.

💜 Somos la #lucha por la #desigualdad en el estado y en los lugares de poder.

💜 Somos la precarización laboral, la desigualdad económica, el prejuicio en determinadas funciones laborales, la trata y la explotación sexual.

💜 Somos los derechos ganados por protestas y luchas de otras mujeres, y somos los derechos por ganar de las mujeres de hoy.

💜 Todo esto, toda esta lucha y más, eso somos.

 💚 8M ¡Feliz lucha compañeras!
.
.
.
#8m #mujeres #disidencias #colectivolgtb #8marzo #argentina #8demarzo #argentina #saludmental #salud #saludintegral #psicoterapiaconperspectivadegénero #neuquen #neuquencapital #rionegroargentina #interseccionalidad #racismo #patriarcado",Message,Photo,0,15,,Género
Twitter,https://twitter.com/MendietaDonaldo/statuses/1501324711443243011,MendietaDonaldo,3/8/2022 5:31 pm,"La violencia contra las #mujeres es generalizada y no conoce fronteras. Las personas exigimos un fin inmediato a la impunidad, que se protejan los derechos de las mujeres y de las niñas a vivir con dignidad, libres de violencia y discriminación. #8M #DíaDeLaMujer #mujeres https://t.co/RwgMJTGY4m",Message,Photo,626,7,"Toluca, México, Mexico",Género
Twitter,https://twitter.com/KenGuzmn4/statuses/1501323550422142980,KenGuzmn4,3/8/2022 5:26 pm,"banregio Hoy en la sucursal Av Coba sur 77780 de Tulum Q.Roo una chica quiso cambiar sus dólares y le pidieron su pasaporte, pero como era de Marruecos no le permitieron cambiar su dinero y la chica empezó a gritar que eso era racismo...esto está bien? O son normas del banco...",Mention,Text Only,1,1,Mexico,
Twitter,https://twitter.com/Ulises72982531/statuses/1501322888695226371,Ulises72982531,3/8/2022 5:24 pm,"melishcs Melisa, la consciencia de clase es una categorización, por lo tanto es un elemento de distinción y separación (discriminación). Por otra parte, las mujeres de derecha no tiene el derecho de elegí esa ideología, es acaso que ella no son libres o no pueden tener esa libertad.",Mention,Text Only,201,0,"Colima, Colima, Mexico",Género
Twitter,https://twitter.com/carlocasno11141/statuses/1501322305946800135,carlocasno11141,3/8/2022 5:21 pm,jagv77 @CARLOSEES Pense que eran unos racistas regionalistas sonorenses típicos.. que alivio!,Mention,Text Only,92,1,"Guadalajara, Jalisco, Mexico",
Twitter,https://twitter.com/SigloCoahuila/statuses/1501321871509311489,SigloCoahuila,3/8/2022 5:20 pm,"Ponciano, el #Pollero, tenía la intención de matar a los 300 migrantes que abandonó en la caja del trailer en Moncl… https://t.co/cLVbSFNxkh",Message,Link,6752,0,"Torreon, Coahuila, Mexico",Migración
Instagram,https://www.instagram.com/p/Ca2_prUJJVJ/,,3/8/2022 5:16 pm,"Un niño judío y una niña musulmana se encuentran en el parque y enseguida descubren que comparten la misma pasión por las estrellas. Pero sus padres no quieren comprenderlo…
Jacob tiene que cuidar de sus hermanitas y aprender a manejar el negocio familiar, pero él está todo el día pensando en las estrellas y fascinado con los misterios del espacio. Su sueño es ser astronauta. Aisha también tiene que cuidar de sus tres hermanos y respetar su cultura familiar, pero su pasión por las estrellas es tan grande que nunca pierde la oportunidad de descubrir los secretos del universo. Cuando sus caminos se cruzan en el parque, los niños se vuelven inseparables, «como estrellas gemelas». Pero la amistad que se forja entre ellos no es aceptada por los adultos… Después de todo, Jacob es judío y Aisha, musulmana…

Las estrellas traslada al lector al barrio de Mile-End de Montreal, con sus bagels, sus escaleras, sus casas, su población ecléctica… y sus diferentes religiones. Pero podría tratarse de cualquier barrio multicultural de muchas de las grandes ciudades de nuestro planeta. Aunque las diferencias culturales puedan resultar muchas veces un tema delicado, Goldstyn lo aborda con mucha sencillez, con humor y sobre todo enfatizando lo que nos une más que lo que nos separa. En el centro de esta historia está la importancia de creer en los sueños, de aferrarse a ellos y perseguirlos, sin importar los obstáculos que la vida, y los adultos, puedan poner en nuestro camino. Un álbum excepcional dirigido a todos los públicos.

#bookstagram 
#bookstagramcolombia 
#librososodeanteojos 
#librosparatodos 
#leerenfamilia 
#Adoptaunalibreria 
#yoleoencasa 
#yoleoyrecomiendo 
#literaturainfantilyjuvenil 
#libreriaindependiente 
#libroalbum 
#libroilustrado
#yoregalolibros
#ColombiaLee
#Bibliotecas
#Amistad 
#Amor
#Racismo 
#convivencia 
#relacionesinterculturales",Message,Photo,0,20,,
Twitter,https://twitter.com/AnomiaMichael/statuses/1501320523774627852,AnomiaMichael,3/8/2022 5:14 pm,"Amor? Cuando estaba en la secundaria por el bullyng pensaba q' por ser prieto e indio, no tenia derecho, pensaba que yo olia a caca o les daba asco a las mujeres, sino es por mi madre y el heavy metal, hubiera terminado  colgado de un arbol
@poderprieto_mx #feminismo @Racismo_MX",Message,Text Only,12,1,"Miguel Aleman (La Doce), Sonora, Mexico","Origen cultural, Género"
Twitter,https://twitter.com/HECTORHBA/statuses/1501320322825564166,HECTORHBA,3/8/2022 5:13 pm,"EAudifaz @AndreaChavezTre @abrahamendieta @Lourdes52378548 @ObradoristaMex @violetamg10078 @Monicao2712 @OSORIOMARISOL25 @indioverdem @NarroJose @musa4_t @alejand46924427 @rabaduf @Gabrielperezval Excelente descripción para los gatos del Neoliberalismo que se creen de una clase social alta porque a veces reciben migajas de sus amos, pobres viven en una esclavitud donde sus ideas no cuentan no hay libertad entre ellos mismos

Yo Soy un Chairo libre con libertad de expresión",Mention,Text Only,882,4,"Morelia, Michoacán, Mexico",
Facebook,http://www.facebook.com/734386083289889/posts/5033247006737087,Yaaj México,3/8/2022 5:07 pm,"Photos from Yaaj México's post | CONTINGENTE #CDMX #8M2021 con Racismo_MX, Elementa DDHH & JTMX - Justicia Transicional en México estamos listas‼️💜💚💖🧡🏳️‍⚧️🏳️‍🌈

Porque nos queremos #VivasLibresYDiversas 📢👊🏾",Message,Text Only,0,55,,
