Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/Rafa4316/statuses/1508583000409260033,Rafa4316,3/28/2022 7:13 pm,"epigmenioibarra Parecen arguenderas de mi  barrio, cizañosos resentidos.",Mention,Text Only,24,0,"Papantla de Olarte, Veracruz, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/peter_music09/statuses/1508582988421943304,peter_music09,3/28/2022 7:13 pm,"Defienden a Alejandra Cuevas ciegamente solo por su audio a Gertz pero ni la conocen ni saben de su vida, pero cuando mataron estudiantes la culpa era de ellos porque son pobres. Ven como si son clasistas.",Message,Text Only,1118,11,"Tecamac de Felipe Villanueva, México, Mexico",Men,,7,0,2,2,
Twitter,https://twitter.com/Ciudad_Plural_/statuses/1508581802734231555,Ciudad_Plural_,3/28/2022 7:08 pm,"Da inicio la Marcha contra los Discursos de Odio
 @MarchacontraDis en el Monumento a la Revolución.

Colectivos se pronuncian en contra de cualquier tipo de violencia y discriminación de la comunidad LGBTTTI #28M https://t.co/QyKX0MbqeD",Message,Photo,10677,19,"Cuauhtemoc, Mexico City, Mexico",,,13,0,0,6,
Instagram,https://www.instagram.com/p/Cbqi-mGrSrT/,,3/28/2022 6:46 pm,"El politólogo agustinlaje comentó en su cuenta de Twitter su opinión respecto a lo sucedido anoche en los #oscars2022 con willsmith y chrisrock en la cual el actor, cómico y también rapero, golpeó en el rostro a quién fue su compañero de escena en varias películas.

El motivo de la agresión se deduce fue por la falta de respeto hacia la esposa de Smith, burlándose de su alopecia.

Agustín Laje escribió: "" Si Will Smith fuera blanco, ya mismo estaría cancelado"". ""Pero negro golpea negro es legal y no viola los derechos humanos.""

""Este no es un comentario sobre la justicia o injusticia de la trompada; es un comentario sobre la hipocresía mediática y política."", finalizó el politólogo.
.
.
.
.
.
.
.
#racismo #contraelracismo #willsmith #oscars #chrisrock #willsmithchrisrock #progresismo #agustinlaje",Message,Photo,0,414,,,,403,0,11,0,
Twitter,https://twitter.com/Arteagarcia/statuses/1508573422720364548,Arteagarcia,3/28/2022 6:35 pm,"Ni modo, a veces hay que darle la razón a resentidos reaccionarios como tú. Sería imposible por una sencilla razón @BeatrizGMuller sería incapaz de usurpar la presidencia en un loco afán de protagonismo. ¿Eso si lo entiendes verdad? https://t.co/qPYvi2MTmH | QT: :#ÚltimaHora🦎🚨:
“Murió Raquel Pankowsky”
La primera actriz de teatro, cine y tv falleció el día de hoy, su parodia de Martha Sahagún la valió éxitos y críticas. 

HOY SERÍA IMPENSABLE una parodia así de la no primera dama con lo sensible que es la 4T. 
https://t.co/jPYg1iJ6j2",Message,Link,538,0,"Coyoacan, Mexico City, Mexico",Men,,0,0,0,0,Backlash
Instagram,https://www.instagram.com/p/Cbqhl1lJvhm/,,3/28/2022 6:34 pm,"🔴En la mañana de este lunes, la cantante Marbelle causó polémica en Twitter porque a un trino que contenía una foto de la campaña de Gustavo Petro y Francia Márquez le respondió “Cacas y King Kong” con emojis de risas.

🗣️ Las opiniones en redes sociales condenaron el racismo del comentario de Marbelle y señalaron que el no estar de acuerdo con las ideas de otras personas no debería convertirse en dirigir insultos a su persona. Así mismo, otros usuarios señalaron que las palabras de Marbelle son lo mismo que decirle ‘porky’ a Iván Duque y que esto no es condenado de igual forma. 

❌Además de publicar sus opiniones,  usuarios de Twitter empezaron una campaña para que masivamente se denunciara el trino y conseguir que la plataforma lo eliminara. Tiempo después, el trino ya no aparecía disponible, según la red social, porque fue eliminado por su autor. 

👉Desliza para conocer diferentes opiniones sobre este comentario. 

📷 IG Francia Márquez y Marbelle

Por: Daniela Segovia Nieto

#marbelle #política #racismo #franciamarquez",Message,Photo,0,2759,,,,2557,0,202,0,
Twitter,https://twitter.com/salinasar/statuses/1508569075483611137,salinasar,3/28/2022 6:17 pm,ElAmaDeCasa1 @SadiHdz @cucarecheto Son una bola de resentidos; les duele el triunfo ajeno,Mention,Text Only,471,10,"Monterrey, Nuevo León, Mexico",Men,,10,0,0,0,Backlash
Twitter,https://twitter.com/Ignacio59724533/statuses/1508567165179506689,Ignacio59724533,3/28/2022 6:10 pm,SadiHdz Son pirricasy y se emocionanahi se les olvida su clasismo,Mention,Text Only,39,0,Mexico,Men,,0,0,0,0,
Twitter,https://twitter.com/MILTONSTARK/statuses/1508566159590834192,MILTONSTARK,3/28/2022 6:06 pm,"Esta es la cara de un prieto que querían detener por sus huevos unos policías @SSC_CDMX por ""verse muy sospechoso"" https://t.co/Mev8LMkmmg",Message,Photo,611,2,"Colonia del Valle, Mexico City, Mexico",,,1,0,0,1,Perfilamiento racial
Twitter,https://twitter.com/jorge_navarro/statuses/1508565079406505984,jorge_navarro,3/28/2022 6:01 pm,"Y más si es chairo esos están resentidos hasta con su nacimiento propio... https://t.co/yh9vNFni02 | QT: @SadiHdz Felicito calurosamente a los EXTRAS, que salen en la lista de los actores en SEGUNDO LUGAR, en la película CODA.
El peor enemigo de un mexicano, es sin duda otro mexicano… https://t.co/u1K57p2O1t",Message,Link,1332,1,"Tampico, Tamaulipas, Mexico",,,1,0,0,0,Backlash
