Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/Huevoideas1/statuses/1531763670547668993,Huevoideas1,5/31/2022 6:24 pm,"poeterapia2 @catrina_nortena No es la misma señora que habla de discriminación

Se está ahogando , vean la manera en la que grita.
Cuando uno grito es que está muy lejos de las personas.

Y ella cada día la notamos menos",Mention,Text Only,6,0,"Aguascalientes, Aguascalientes, Mexico",0,0,0,0,
Twitter,https://twitter.com/Otro_alfredo/statuses/1531763524799717383,Otro_alfredo,5/31/2022 6:24 pm,"Se mamó  La senadora Téllez ajajajajaja @facufacundo defiende a tu compa el changoleon , no es justo que lo comparen con @fernandeznorona | QT: La senadora Lilly Téllez llama “Changoleón” a Fernández Noroña; “muestra racismo y clasismo”, le responde el diputado del PT.
#Latinus #InformaciónParaTi 
https://t.co/fNGpr6uElD",Message,Text Only,124,0,"General Escobedo, Nuevo León, Mexico",0,0,0,0,
Twitter,https://twitter.com/pinello13/statuses/1531763180329918471,pinello13,5/31/2022 6:22 pm,Porque los blancos? | QT: ¿Por que las dragas mexicanas les encanta llamar la atención con seforonia y racismo? https://t.co/CJJUCL0L71,Message,Text Only,723,0,"Miguel Hidalgo, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/DanielM27971565/statuses/1531762119577935877,DanielM27971565,5/31/2022 6:18 pm,"Si les molesta que el hada (que tal vez aparezca como máximo 3 veces) sea negra es porque eres RACISTA, punto. https://t.co/Y1R0Uk4pDE",Message,Photo,37,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/pinello13/statuses/1531761629590953984,pinello13,5/31/2022 6:16 pm,"No me digan a La Drag Queen Racista | QT: Oigan, ¿entonces de los musicales de Disney mejor ni hablamos?... https://t.co/CgyqZaH6P5",Message,Text Only,723,0,"Miguel Hidalgo, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/madamemallet/statuses/1531760025198288897,madamemallet,5/31/2022 6:10 pm,"La conozco bien y respeto su trabajo, ha estado denunciando el borrón de los rótulos y es parte de un colectivo que esta documentando el antes y el después | QT: @madamemallet ¿Y qué tendrá que ver la Clasista de Tamara de Anda? (Si es tu amiga, no lo tomes personal. Y ya leí bien. Perdona mi analfabetismo funcional)",Message,Text Only,15051,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/gnajjjj/statuses/1531754485172817927,gnajjjj,5/31/2022 5:48 pm,"Un bully en toda la extensión. Aparentemente valiente para pegar, pero un cobarde de antología si le responden en el mismo grado en que él ataca. | QT: Hoy la sesión de la Comisión Permanente en el @senadomexicano demuestra la enorme hipocresía de la derecha: violenta, racista y clasista; usan la provocación y la injuria como su argumento para el “debate”.",Message,Text Only,1773,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/ChrisMty2021/statuses/1531753372373630976,ChrisMty2021,5/31/2022 5:43 pm,"plumajenegro @rosifressita @GALA__Shifu Claro, vamos a tapar el problema callando al indio, lo más incoherente de ese discurso discriminatorio que lo disfrazan de eleccion, y no lo digo por ella, para que no empiezes, es que terminan de padrastros y madrastras, varias veces,",Mention,Text Only,309,0,"Apodaca, Nuevo León, Mexico",0,0,0,0,Origen cultural
Twitter,https://twitter.com/alejandrojasso8/statuses/1531753241490472960,alejandrojasso8,5/31/2022 5:43 pm,"FedericoArreola @FelipeCalderon Aparte de resentido, envidioso y webón hay que agregarle que también es “chismoso y cizañoso”🤣🤣, ah que Doña Federica Arriola tan pendej@ ..!!",Mention,Text Only,1075,0,Mexico,0,0,0,0,Backlash
Twitter,https://twitter.com/Jpneira2000/statuses/1531752928909860866,Jpneira2000,5/31/2022 5:42 pm,"EspacioStarWars A mi en lo personal, esos personajes no se me hicieron muy bien desarrollados, pero no es nada en contra de los actores o su origen étnico.

Que triste que haya gente que trata de esconder su racismo con una crítica de storytelling.",Mention,Text Only,203,0,"Guadalajara, Jalisco, Mexico",0,0,0,0,
Twitter,https://twitter.com/AdrianBarriosG/statuses/1531752438683910145,AdrianBarriosG,5/31/2022 5:40 pm,"Se molesta el diputado que más apodos pone a la oposición pero en cuanto le dicen algo se siente ofendido… el que se lleva se aguanta, se sabe que un legislador muy preparado pero ciertas actitudes mancha lo demás. | QT: Hoy la sesión de la Comisión Permanente en el @senadomexicano demuestra la enorme hipocresía de la derecha: violenta, racista y clasista; usan la provocación y la injuria como su argumento para el “debate”.",Message,Text Only,281,0,"Miguel Aleman (La Doce), Sonora, Mexico",0,0,0,0,
Twitter,https://twitter.com/asleysolis/statuses/1531752142192533504,asleysolis,5/31/2022 5:39 pm,"La draga racista no tarda en decir que ella celebra la diversidad, que nunca fue racista con su legítima pregunta y que todo nos lo imaginamos y que si nos ofendió se disculpa.",Message,Text Only,894,0,"Guadalajara, Jalisco, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/tv/CePN2Mhjb0W/,,5/31/2022 5:38 pm,"Capítulo 4: La #Discriminación, en este vídeo se busca representar a la discriminación y demostrar que se puede dar a cualquier edad y por diversas razones, que las personas que la viven reciben tratos desfavorables en situaciones incómodas solo por pertenecer a cierto grupo determinado.

#comunicaresmejorar #educación #educacióndecalidad #redessociales #discriminación #ciberacosoescolar #privacidad #identidaddigital #educaciondigital #educarenvalores #educarenigualdad #buenusodelasredessociales #todossomosiguales #diversidad #nomásracismo #racismo",Message,Video,0,49,,45,0,4,0,
Twitter,https://twitter.com/AliasCane/statuses/1531751844845862927,AliasCane,5/31/2022 5:37 pm,"madamemallet ¿Y qué tendrá que ver la Clasista de Tamara de Anda? (Si es tu amiga, no lo tomes personal. Y ya leí bien. Perdona mi analfabetismo funcional)",Mention,Text Only,12231,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/AliasCane/statuses/1531751521066659840,AliasCane,5/31/2022 5:36 pm,docpainkiller Vieja Clasista,Mention,Text Only,12231,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,Género
Twitter,https://twitter.com/DraMelendrez/statuses/1531751495644786689,DraMelendrez,5/31/2022 5:36 pm,"fernandeznorona Que nivel tan bajo de esa golpista clasista racista facista de ultraderecha, Gerardo debería haber un acuerdo que no se falten al respeto y multarlos para que no haya ese nivel tan bajo Usted muy bien solo que no aguantan.",Mention,Text Only,80,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/ValjeanJean69/statuses/1531751050029547520,ValjeanJean69,5/31/2022 5:34 pm,"OiseauAguilera Son de naturaleza belicosa, supremacista y racista, van por la revancha, la tercera 😱😱😱☠️☠️☠️",Mention,Text Only,225,0,"Morelia, Michoacán, Mexico",0,0,0,0,
Twitter,https://twitter.com/MarioGo14952349/statuses/1531750726140981250,MarioGo14952349,5/31/2022 5:33 pm,FedericoArreola P**ch* envidioso resentido y cual es el pedo,Mention,Text Only,404,0,Mexico,0,0,0,0,Backlash
Instagram,https://www.instagram.com/p/CePNKhwuHPp/,,5/31/2022 5:30 pm,"El Tribunal Superior del Distrito Judicial de Cartagena acaba de confirmar el fallo de tutela contra el Hotel Cartagena Plaza por el acto de discriminación contra Víctor Padilla. Terrible que el Hotel Cartagena Plaza, desubicado frente a su falta haya pretendido impugnar el fallo inicial, demuestra la gravedad de su racismo estructural. En una cultura racista y clasista lamentablemente estas situaciones se presentan, pero es doblemente grave que no se aproveche por parte del hotel para hacer una autocrítica, una reflexión seria que les permita mejorar y modificar estas prácticas. Menospreciar a una persona por sus características étnicas es gravísimo para una empresa que presta este tipo de servicio, pues imagínense lo que significaría que la comunidad afro estadounidense o del caribe insular, o afro europea tuvieran conocimiento de estas implicaciones al elegir este hotel como posible hospedaje. Es probable que a una plataforma como Tripadvisor le sea útil esta información para ubicar a los viajeros. Yo esperaría que el hotelcartagenaplaza busque espacios de reflexión más allá de solicitud de disculpas públicas ordenadas por un juez (poco creíbles considerando este intento de impugnación que falló en derecho nuevamente a favor de la víctima) Felicitaciones a Víctor Padilla por su lucha y al abogado kriss_urueta por permitir que el ejercicio del derecho sea el camino para la dignidad humana. ✊🏽 #cartagena #racism #hotelcartagenaplaza #blacklivesmatter #colombia #tutela #humanrights #racismo #hotel",Message,Photo,0,45,,41,0,4,0,
Twitter,https://twitter.com/gonzalo_demesa/statuses/1531749778920554499,gonzalo_demesa,5/31/2022 5:29 pm,"Que feas personas son. 

¡¿Por qué sacan de contexto su racismo?! 😂 | QT: Qué chistoso que lleguen a un nivel de susceptibilidad tan excesivo que todo lo saquen de contexto a conveniencia de sus opiniones. Analicen bien las palabras de las personas y si realmente ven una inconformidad fuera de lugar,adelante.",Message,Text Only,2208,0,"Las Pintitas, Jalisco, Mexico",0,0,0,0,
Twitter,https://twitter.com/LupitaLeal_/statuses/1531749320931819520,LupitaLeal_,5/31/2022 5:27 pm,"En Comisión de Atención a Personas con Discapacidad 🧑‍🦯👩🏻‍🦼 en el @CongresoPue votamos a favor 🙋‍♀️ para Prevenir y Elimiar la Discriminación en #Puebla, también solicité una reunión con personas con discapacidad para hablar sobre Ley de Movilidad y Seguridad Vial 📄#MovilidadOrgánica https://t.co/fhqQCYgVPQ",Message,Photo,5892,9,"Casa Blanca, Puebla, Mexico",5,0,0,4,
Twitter,https://twitter.com/MaEugeniaVidal3/statuses/1531747316922781696,MaEugeniaVidal3,5/31/2022 5:19 pm,"GusDiazOrdaz68 Expriistas chapulines que llegaron a la política para servirse de ella, enriquecerse ellos y a sus familias… Corruptos mitómanos cínicos misóginos resentidos hipócritas https://t.co/ACFZ8A2r1Z",Mention,Photo,873,0,"Villahermosa, Tabasco, Mexico",0,0,0,0,"Backlash, Género"
Twitter,https://twitter.com/BonRodrigo/statuses/1531746701631012865,BonRodrigo,5/31/2022 5:17 pm,"Sin mencionar los j*tos que se quejaron por el cartel de la marcha del orgullo y todo esto un día antes de empezar el mes del pride, que bonita comunidad 😔🫤🙄💔 | QT: Ya arrastramos a una Drag bien bruta, a jotxs edadistas, a periodistas de espectáculos racistas, a la generación de “cemento” que no aguanta nada. 

Hoy ha sido un día muy ocupado en Gay Twitter México ™️ 

Los dejo, en la noche me cuentan en qué vamos.",Message,Text Only,874,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,Sexodiversidad
Twitter,https://twitter.com/julietaetznab/statuses/1531744151724707840,julietaetznab,5/31/2022 5:07 pm,"La Jornada: ""Por prietas y feas"", edil priísta no deja vender a mujeres en San Miguel de Allende.

Así son los políticos del McPRIAN en Guanajuato. 
 https://t.co/OjD3tfFTEs",Message,Link,23777,58,"Cuauhtemoc, Mexico City, Mexico",36,0,2,20,Género
Twitter,https://twitter.com/LaloMadrigay/statuses/1531743518212902912,LaloMadrigay,5/31/2022 5:04 pm,"Cuando el Drag no es político y es solo exhibición del propio racismo. | QT: Una preguntita Disney, nmas pa saber … entonces todos los personajes van a ser negros ya vdd",Message,Text Only,383,0,"Xochimilco, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/Leonardostn22/statuses/1531741220824834048,Leonardostn22,5/31/2022 4:55 pm,"_IsaacTapia @martinezmau @chabelooficial Y también clasista? Jajaja no tiene nada que ver mi ciudad, pésimo tu argumento traumadito das penita, pidiendo atención porque no se te dió hace ya que? Unos 40 años y sigues muy malito señor... Jajaja",Mention,Text Only,12,0,"Tuxtla Gutierrez, Chiapas, Mexico",0,0,0,0,
Twitter,https://twitter.com/vmorav/statuses/1531739996952084489,vmorav,5/31/2022 4:50 pm,"Señor? Es un puta naco! | QT: El señor @fernandeznorona se la ha pasado toda su vida poniendo apodos, pisoteando a quien piensa distinto y confrontando a personas que considera inferiores. Hoy la senadora @LillyTellez se refirió a él como #Changoleon y obvio se molestó. Grande Lilly 

https://t.co/Kn6qYN6ret",Message,Text Only,1146,0,"San Francisco Acuautla, México, Mexico",0,0,0,0,Odio
Twitter,https://twitter.com/AliasCane/statuses/1531739261698965505,AliasCane,5/31/2022 4:47 pm,mslabastida Porque Tamara siempre ha sido una persona clasista.,Mention,Text Only,12231,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/AlexValois7/statuses/1531738970077417472,AlexValois7,5/31/2022 4:46 pm,La vida de nosotros los prietos nunca ha sido fácil. 🇲🇽😕🤷🏻‍♂️,Message,Text Only,21,0,"Xochitepec, Morelos, Mexico",0,0,0,0,
