Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/surmixalot/statuses/1492023047267753986,surmixalot,2/11/2022 1:29 am,Esta es mi cara de “realmente me quiero ir de esta fiesta de whitexicans que tratan mal a los bar tenders y comentan sobre el pelo de las personas negras pensando que son cumplidos cuando realmente son racistas” https://t.co/7qfTA8qyIs,Message,Photo,632,26,"Cuauhtemoc, Mexico City, Mexico",Men,,25,0,1,0,
Twitter,https://twitter.com/leugimrayado74/statuses/1492011249751805953,leugimrayado74,2/11/2022 12:42 am,JOHNWALAS1 Quiero pensar que es clasista la hermana dijo algo de su apariencia,Mention,Text Only,793,2,"Santa Catarina, Nuevo León, Mexico",Men,,1,0,1,0,
Twitter,https://twitter.com/Jano08866070/statuses/1492001709157072896,Jano08866070,2/11/2022 12:05 am,"Un tamarindo
Cabeza roja y cara prieta 😅😂🤣 https://t.co/qJ14966Vkw",Message,Link,303,0,"Sanctorum, Puebla, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/DrJimenezJuan/statuses/1491983718617018371,DrJimenezJuan,2/10/2022 10:53 pm,"""Ojalá los prietos fueran eternos"" https://t.co/LTN5UQHWnG | QT: ¿Entonces yo también soy prieto de ojos sin chiste? #not 

En esa foto que critican hay doctores de todo el país y de otros países.

Dejen de escribir idioteces 🙄 https://t.co/3tkFJzuVjw",Message,Link,556,2,"Cholula, Puebla, Mexico",,,1,0,1,0,
Twitter,https://twitter.com/YoCarlosSosa/statuses/1491983283885953039,YoCarlosSosa,2/10/2022 10:51 pm,"crocamarilla Viene del ""chejein"" al rato es una onomatopeya del sonido de la cuma o el machete 😂😂😂😂, es una forma peyorativa de decirle ""indio"" a alguien...

😂😂😂Fuente créanme.",Mention,Text Only,994,20,"Santa Ana, Santa Ana, El Salvador",Men,,20,0,0,0,Origen cultural
Twitter,https://twitter.com/AngelitoSpoiled/statuses/1491980552832012297,AngelitoSpoiled,2/10/2022 10:40 pm,"No es Bad Bunny, es su clasismo musical. https://t.co/s9zONHKPM3 | QT: Su odio al reggaetón es por las letras, la melodía, la obsenidad o las personas que lo interpretan y producen, su odio es el reflejo de su clasismo musical. Así que abro hilo 🧵 de la historia del reggaetón y por qué la banda ama a Bad Bunny 🐰",Message,Link,2136,0,"Ciudad Nezahualcoyotl, México, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/YuPraNa/statuses/1491980021342289920,YuPraNa,2/10/2022 10:38 pm,"MauricioRLTV Extraordinario, no se olviden de nuestros pueblos Indigenas y Afrohondureños que sean tan visibilizados..",Mention,Text Only,195,0,Honduras,Women,,0,0,0,0,
Twitter,https://twitter.com/vnsl88/statuses/1491969266794516482,vnsl88,2/10/2022 9:56 pm,Nose ustedes pero ami un six de indio o ultra me reinicia la vida,Message,Text Only,203,0,"Empalme, Sonora, Mexico",,,0,0,0,0,Origen cultural
Twitter,https://twitter.com/RamEsthefania/statuses/1491968627876286468,RamEsthefania,2/10/2022 9:53 pm,"Ciclo de Conferencias Virtuales del Programa de Formación de Liderazgo Incluyente Internacional - SOS Discriminación Discriminación Internacional Querétaro en el que participarán jóvenes de diferentes países para fortalecer las alianzas.  
https://t.co/uXSIH0FRCN",Message,Link,3,0,"Santa Rosa Jauregui, Querétaro, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/notindeslv/statuses/1491954500504018961,notindeslv,2/10/2022 8:57 pm,"#Política || Diputado suplente de Margarita Escobar denuncia discriminación de ARENA por apoyar iniciativas del Gobierno Central

Más detalles:
https://t.co/RMLiryrf1U https://t.co/lHDH1gvm6C",Message,Photo,4785,0,"Santa Tecla, La Libertad, El Salvador",,,0,0,0,0,
Twitter,https://twitter.com/EDGAROC84305036/statuses/1491954345960693770,EDGAROC84305036,2/10/2022 8:56 pm,"PacoJavo88 @ronygzvg @RoanaBuenavent1 @FelipeCalderon Cerraron por la pandemia, no por que el gobierno las ubiera cerrado, en todos los países cerraron negocios a causa de este terrible mal que nos aqueja, pero echarle la culpa al gobierno es vivir resentido con su realidad esperando que alguien lo salve de su triste mediocridad.",Mention,Text Only,57,1,"Guadalajara, Jalisco, Mexico",Men,,0,0,1,0,Backlash
Twitter,https://twitter.com/rotsen44/statuses/1491953797127712769,rotsen44,2/10/2022 8:54 pm,"Trivializar las causas d marginación con sus “prietometros”, “feministometros”, “queerometros” y demás mamadas lo único q provoca es perpetuar la verdadera discriminación.

Pero tienen razón: aquí veo desde mi “privilegio” como se dan en la madre en aras de la cuenta sarcasmo 🙄",Message,Text Only,427,3,"Colonia del Valle, Mexico City, Mexico",,,2,0,1,0,
