Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.01,0.31,0.3683606956774058
75% Corpus,8,0.01,0.61,0.3756093516057067
75% Corpus,8,0.01,0.9099999999999999,0.477719385764326
75% Corpus,8,0.01,symmetric,0.35721761428607457
75% Corpus,8,0.31,0.01,0.3814182312258261
75% Corpus,8,0.31,0.31,0.3521755436079379
75% Corpus,8,0.31,0.61,0.39883710431965713
75% Corpus,8,0.31,0.9099999999999999,0.4089113855623424
75% Corpus,8,0.31,symmetric,0.3822955528990095
75% Corpus,8,0.61,0.01,0.3700722674405017
75% Corpus,8,0.61,0.31,0.37322641603803064
75% Corpus,8,0.61,0.61,0.42594597614363655
75% Corpus,8,0.61,0.9099999999999999,0.45048641923723204
75% Corpus,8,0.61,symmetric,0.3677169147620909
75% Corpus,8,0.9099999999999999,0.01,0.3791843690653194
75% Corpus,8,0.9099999999999999,0.31,0.3480114089160594
75% Corpus,8,0.9099999999999999,0.61,0.3734785713269244
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3573031797443065
75% Corpus,8,0.9099999999999999,symmetric,0.3515890946361919
75% Corpus,8,symmetric,0.01,0.39462125470929976
75% Corpus,8,symmetric,0.31,0.38543576479035935
75% Corpus,8,symmetric,0.61,0.3979713492939537
75% Corpus,8,symmetric,0.9099999999999999,0.41515689468224837
75% Corpus,8,symmetric,symmetric,0.39251802704743377
75% Corpus,8,asymmetric,0.01,0.40175765415986747
75% Corpus,8,asymmetric,0.31,0.3607837505177508
75% Corpus,8,asymmetric,0.61,0.4054226472324113
75% Corpus,8,asymmetric,0.9099999999999999,0.348921404492482
75% Corpus,8,asymmetric,symmetric,0.4309375072642072
75% Corpus,9,0.01,0.01,0.39384416201532463
75% Corpus,9,0.01,0.31,0.3995670199280028
75% Corpus,9,0.01,0.61,0.4443597153545469
75% Corpus,9,0.01,0.9099999999999999,0.4773392068140834
75% Corpus,9,0.01,symmetric,0.3882078998454067
75% Corpus,9,0.31,0.01,0.3644700534304972
75% Corpus,9,0.31,0.31,0.3913581883903594
75% Corpus,9,0.31,0.61,0.422506126965515
75% Corpus,9,0.31,0.9099999999999999,0.462465361602554
75% Corpus,9,0.31,symmetric,0.38241931299325466
75% Corpus,9,0.61,0.01,0.3497389472553462
75% Corpus,9,0.61,0.31,0.3564274840395202
75% Corpus,9,0.61,0.61,0.38569951128526225
75% Corpus,9,0.61,0.9099999999999999,0.37410208629581176
75% Corpus,9,0.61,symmetric,0.3429525673262053
75% Corpus,9,0.9099999999999999,0.01,0.3697381376128118
75% Corpus,9,0.9099999999999999,0.31,0.3525332408374786
75% Corpus,9,0.9099999999999999,0.61,0.36630009030019406
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3473380217342634
75% Corpus,9,0.9099999999999999,symmetric,0.3843949706615581
75% Corpus,9,symmetric,0.01,0.3788736917845468
75% Corpus,9,symmetric,0.31,0.4122891987139202
75% Corpus,9,symmetric,0.61,0.4604884187339513
75% Corpus,9,symmetric,0.9099999999999999,0.48787544035030517
75% Corpus,9,symmetric,symmetric,0.3857622074530227
75% Corpus,9,asymmetric,0.01,0.38584666781306926
75% Corpus,9,asymmetric,0.31,0.3988669222875823
75% Corpus,9,asymmetric,0.61,0.4074514714736207
75% Corpus,9,asymmetric,0.9099999999999999,0.3539534319107914
75% Corpus,9,asymmetric,symmetric,0.37615290335061907
75% Corpus,10,0.01,0.01,0.35686389801690543
75% Corpus,10,0.01,0.31,0.38092141523154754
75% Corpus,10,0.01,0.61,0.3956882698875511
75% Corpus,10,0.01,0.9099999999999999,0.4302635644337746
75% Corpus,10,0.01,symmetric,0.3579932910692893
75% Corpus,10,0.31,0.01,0.3755533470105151
75% Corpus,10,0.31,0.31,0.4195769654936627
75% Corpus,10,0.31,0.61,0.47716417086602086
75% Corpus,10,0.31,0.9099999999999999,0.4041457748842716
75% Corpus,10,0.31,symmetric,0.3754821242886176
75% Corpus,10,0.61,0.01,0.37222841758951836
75% Corpus,10,0.61,0.31,0.3664238834235195
75% Corpus,10,0.61,0.61,0.39037189326109023
75% Corpus,10,0.61,0.9099999999999999,0.3691866287629949
75% Corpus,10,0.61,symmetric,0.3559450306588625
75% Corpus,10,0.9099999999999999,0.01,0.3704173782791707
75% Corpus,10,0.9099999999999999,0.31,0.35233577850759434
75% Corpus,10,0.9099999999999999,0.61,0.33477950176188526
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3480958293496709
75% Corpus,10,0.9099999999999999,symmetric,0.405478597410118
75% Corpus,10,symmetric,0.01,0.35337248069020183
75% Corpus,10,symmetric,0.31,0.4100716698898149
75% Corpus,10,symmetric,0.61,0.41328706249010533
75% Corpus,10,symmetric,0.9099999999999999,0.4712167743715474
75% Corpus,10,symmetric,symmetric,0.34759846229238883
75% Corpus,10,asymmetric,0.01,0.35356446025125526
75% Corpus,10,asymmetric,0.31,0.347104798866593
75% Corpus,10,asymmetric,0.61,0.35497911262604254
75% Corpus,10,asymmetric,0.9099999999999999,0.3611661419541757
75% Corpus,10,asymmetric,symmetric,0.3945853993911717
100% Corpus,2,0.01,0.01,0.37052820466845227
100% Corpus,2,0.01,0.31,0.3643479935074859
100% Corpus,2,0.01,0.61,0.3499780656132345
100% Corpus,2,0.01,0.9099999999999999,0.37430662107197565
100% Corpus,2,0.01,symmetric,0.36552105454199435
100% Corpus,2,0.31,0.01,0.37845061559568394
100% Corpus,2,0.31,0.31,0.368444908339799
100% Corpus,2,0.31,0.61,0.38846690912745835
100% Corpus,2,0.31,0.9099999999999999,0.37590634777008736
100% Corpus,2,0.31,symmetric,0.38846690912745835
100% Corpus,2,0.61,0.01,0.37730329480759006
100% Corpus,2,0.61,0.31,0.41415806546774814
100% Corpus,2,0.61,0.61,0.3979263480734476
100% Corpus,2,0.61,0.9099999999999999,0.4126127159596036
100% Corpus,2,0.61,symmetric,0.3961259382600144
100% Corpus,2,0.9099999999999999,0.01,0.37730329480759006
100% Corpus,2,0.9099999999999999,0.31,0.414158065467748
100% Corpus,2,0.9099999999999999,0.61,0.39938624587485694
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3930761334632469
100% Corpus,2,0.9099999999999999,symmetric,0.4084443339659479
100% Corpus,2,symmetric,0.01,0.3773448407885258
100% Corpus,2,symmetric,0.31,0.3910392173103798
100% Corpus,2,symmetric,0.61,0.4062695489285917
100% Corpus,2,symmetric,0.9099999999999999,0.41449066072723106
100% Corpus,2,symmetric,symmetric,0.4062695489285916
100% Corpus,2,asymmetric,0.01,0.3313260370410056
100% Corpus,2,asymmetric,0.31,0.3506278224368658
100% Corpus,2,asymmetric,0.61,0.3320125291610776
100% Corpus,2,asymmetric,0.9099999999999999,0.366205927560028
100% Corpus,2,asymmetric,symmetric,0.3869126409314485
100% Corpus,3,0.01,0.01,0.418861653463048
100% Corpus,3,0.01,0.31,0.4089782536850107
100% Corpus,3,0.01,0.61,0.4042351662363699
100% Corpus,3,0.01,0.9099999999999999,0.4029377190474066
100% Corpus,3,0.01,symmetric,0.4044870344512345
100% Corpus,3,0.31,0.01,0.41355055930549733
100% Corpus,3,0.31,0.31,0.4177664884402647
100% Corpus,3,0.31,0.61,0.43956124366254695
100% Corpus,3,0.31,0.9099999999999999,0.4381810280389506
100% Corpus,3,0.31,symmetric,0.41453488122468723
100% Corpus,3,0.61,0.01,0.41662553962652266
100% Corpus,3,0.61,0.31,0.4554594547846534
100% Corpus,3,0.61,0.61,0.4513184114228645
100% Corpus,3,0.61,0.9099999999999999,0.4574188737406979
100% Corpus,3,0.61,symmetric,0.4554594547846534
100% Corpus,3,0.9099999999999999,0.01,0.41434901523607764
100% Corpus,3,0.9099999999999999,0.31,0.4333826474954526
100% Corpus,3,0.9099999999999999,0.61,0.43592277012840014
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4555851543602059
100% Corpus,3,0.9099999999999999,symmetric,0.43673026548221056
100% Corpus,3,symmetric,0.01,0.4130277040392038
100% Corpus,3,symmetric,0.31,0.4342735347665812
100% Corpus,3,symmetric,0.61,0.43956124366254695
100% Corpus,3,symmetric,0.9099999999999999,0.4381810280389506
100% Corpus,3,symmetric,symmetric,0.4292524071407328
100% Corpus,3,asymmetric,0.01,0.36252537363051246
100% Corpus,3,asymmetric,0.31,0.3392640316681124
100% Corpus,3,asymmetric,0.61,0.3832037969434113
100% Corpus,3,asymmetric,0.9099999999999999,0.3589601729414164
100% Corpus,3,asymmetric,symmetric,0.34398378066213303
100% Corpus,4,0.01,0.01,0.3775703709136921
