Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.61,symmetric,0.2863187722390487
75% Corpus,6,0.9099999999999999,0.01,0.2890598508834352
75% Corpus,6,0.9099999999999999,0.31,0.29887478753498203
75% Corpus,6,0.9099999999999999,0.61,0.30190785655831015
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.29564356170909195
75% Corpus,6,0.9099999999999999,symmetric,0.2864244900279193
75% Corpus,6,symmetric,0.01,0.271422767618356
75% Corpus,6,symmetric,0.31,0.2796911579264319
75% Corpus,6,symmetric,0.61,0.2783032882996779
75% Corpus,6,symmetric,0.9099999999999999,0.2988260386929811
75% Corpus,6,symmetric,symmetric,0.26174231352485866
75% Corpus,6,asymmetric,0.01,0.2664754238627585
75% Corpus,6,asymmetric,0.31,0.3181292957234179
75% Corpus,6,asymmetric,0.61,0.38824262279760013
75% Corpus,6,asymmetric,0.9099999999999999,0.46139174202037303
75% Corpus,6,asymmetric,symmetric,0.28538340205043355
75% Corpus,7,0.01,0.01,0.28969617951444465
75% Corpus,7,0.01,0.31,0.25081307085057974
75% Corpus,7,0.01,0.61,0.2818941304554734
75% Corpus,7,0.01,0.9099999999999999,0.29413739499291064
75% Corpus,7,0.01,symmetric,0.28264208210371
75% Corpus,7,0.31,0.01,0.27255066555169793
75% Corpus,7,0.31,0.31,0.28536991986928967
75% Corpus,7,0.31,0.61,0.28799649465959504
75% Corpus,7,0.31,0.9099999999999999,0.2892976220770647
75% Corpus,7,0.31,symmetric,0.28056076391966167
75% Corpus,7,0.61,0.01,0.3023422570742009
75% Corpus,7,0.61,0.31,0.3067727292443236
75% Corpus,7,0.61,0.61,0.3158574073090916
75% Corpus,7,0.61,0.9099999999999999,0.31997184694055175
75% Corpus,7,0.61,symmetric,0.28290702089694725
75% Corpus,7,0.9099999999999999,0.01,0.3063692835930433
75% Corpus,7,0.9099999999999999,0.31,0.3045229258032675
75% Corpus,7,0.9099999999999999,0.61,0.30660656338869646
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.29817851222465785
75% Corpus,7,0.9099999999999999,symmetric,0.2989733342273406
75% Corpus,7,symmetric,0.01,0.28587482032314876
75% Corpus,7,symmetric,0.31,0.29362137023330565
75% Corpus,7,symmetric,0.61,0.28225656344939515
75% Corpus,7,symmetric,0.9099999999999999,0.27330564279022007
75% Corpus,7,symmetric,symmetric,0.28241421373500647
75% Corpus,7,asymmetric,0.01,0.26916854523072753
75% Corpus,7,asymmetric,0.31,0.311762633393827
75% Corpus,7,asymmetric,0.61,0.38370164544158986
75% Corpus,7,asymmetric,0.9099999999999999,0.5141259410952446
75% Corpus,7,asymmetric,symmetric,0.2763611038569835
75% Corpus,8,0.01,0.01,0.294293766041949
75% Corpus,8,0.01,0.31,0.2951891251168771
75% Corpus,8,0.01,0.61,0.28013174530444607
75% Corpus,8,0.01,0.9099999999999999,0.31140085194056644
75% Corpus,8,0.01,symmetric,0.28859652525859625
75% Corpus,8,0.31,0.01,0.28916732502245845
75% Corpus,8,0.31,0.31,0.27367945201927113
75% Corpus,8,0.31,0.61,0.2537980243052157
75% Corpus,8,0.31,0.9099999999999999,0.2709338152145706
75% Corpus,8,0.31,symmetric,0.28363852564973874
75% Corpus,8,0.61,0.01,0.2960909881220475
75% Corpus,8,0.61,0.31,0.2971509249750156
75% Corpus,8,0.61,0.61,0.2958299113613825
75% Corpus,8,0.61,0.9099999999999999,0.2993611674896802
75% Corpus,8,0.61,symmetric,0.2969862162483445
75% Corpus,8,0.9099999999999999,0.01,0.28494079848810383
75% Corpus,8,0.9099999999999999,0.31,0.3024565514901223
75% Corpus,8,0.9099999999999999,0.61,0.29432148239601874
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.28622601040101586
75% Corpus,8,0.9099999999999999,symmetric,0.29988142810441626
75% Corpus,8,symmetric,0.01,0.2750850051236894
75% Corpus,8,symmetric,0.31,0.3012544864855751
75% Corpus,8,symmetric,0.61,0.27001376801274246
75% Corpus,8,symmetric,0.9099999999999999,0.2864480498032582
75% Corpus,8,symmetric,symmetric,0.2571720175851493
75% Corpus,8,asymmetric,0.01,0.26941275367302475
75% Corpus,8,asymmetric,0.31,0.31829596076269845
75% Corpus,8,asymmetric,0.61,0.3821633559547596
75% Corpus,8,asymmetric,0.9099999999999999,0.4359378680697379
75% Corpus,8,asymmetric,symmetric,0.2779986497320832
75% Corpus,9,0.01,0.01,0.2916513479176092
75% Corpus,9,0.01,0.31,0.31357569455692513
75% Corpus,9,0.01,0.61,0.3220132773166482
75% Corpus,9,0.01,0.9099999999999999,0.2830752942130466
75% Corpus,9,0.01,symmetric,0.2933361429100544
75% Corpus,9,0.31,0.01,0.2965833021083115
75% Corpus,9,0.31,0.31,0.30128924490499626
75% Corpus,9,0.31,0.61,0.3023461478353393
75% Corpus,9,0.31,0.9099999999999999,0.2841591321984305
75% Corpus,9,0.31,symmetric,0.2987430598501199
75% Corpus,9,0.61,0.01,0.3076394088591118
75% Corpus,9,0.61,0.31,0.30485758388400647
75% Corpus,9,0.61,0.61,0.30964755700985264
75% Corpus,9,0.61,0.9099999999999999,0.3114357097738086
75% Corpus,9,0.61,symmetric,0.31176526043752617
